[2023-04-07 13:54:23] Opened Log File logs/2023-04-07_13-54-23_log.txt
[2023-04-07 13:54:23] DATA: {'ph': 3.43, 'ec': 112.08, 'temp': 19.44, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-07 13:54:30] DATA: {'ph': 3.04, 'ec': 115.91, 'temp': 19.44, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-07 13:54:33] Transitioned to filling mode -- Written by logger
[2023-04-07 13:54:33] DATA: {'ph': 3.87, 'ec': 107.77, 'temp': 19.44, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-07 13:54:36] Transitioned to shutdown mode -- Written by logger
[2023-04-07 13:54:36] DATA: {'ph': 5.52, 'ec': 91.48, 'temp': 19.44, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-07 13:54:39] DATA: {'ph': 5.55, 'ec': 90.53, 'temp': 19.44, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-07 13:54:43] DATA: {'ph': 5.57, 'ec': 90.29, 'temp': 19.44, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-07 13:54:46] DATA: {'ph': 5.57, 'ec': 90.29, 'temp': 19.44, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-07 13:54:49] DATA: {'ph': 5.57, 'ec': 90.29, 'temp': 19.44, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-07 13:54:52] DATA: {'ph': 5.55, 'ec': 90.77, 'temp': 19.44, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-07 13:54:56] DATA: {'ph': 5.49, 'ec': 91.48, 'temp': 19.44, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
