[2023-04-20 20:31:15] Opened Log File logs/2023-04-20_20-31-15_log.txt
[2023-04-20 20:31:15] DATA: {'ph': 9.26, 'ec': -0.45, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:31:26] DATA: {'ph': 9.21, 'ec': -0.47, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:31:29] Transitioned to conditioning mode -- Written by logger
[2023-04-20 20:31:30] DATA: {'ph': 9.21, 'ec': -0.44, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:31:33] DATA: {'ph': 9.21, 'ec': -0.43, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:31:36] DATA: {'ph': 5.93, 'ec': -0.47, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:31:39] DATA: {'ph': 5.96, 'ec': -0.49, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:31:42] DATA: {'ph': 6.04, 'ec': -0.48, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:31:45] DATA: {'ph': 5.93, 'ec': -0.48, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:31:48] DATA: {'ph': 5.96, 'ec': -0.47, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:31:51] DATA: {'ph': 5.79, 'ec': -0.47, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:31:54] DATA: {'ph': 5.77, 'ec': -0.48, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:31:57] DATA: {'ph': 5.74, 'ec': -0.45, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:00] DATA: {'ph': 5.68, 'ec': -0.47, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:03] DATA: {'ph': 5.66, 'ec': -0.45, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:06] DATA: {'ph': 5.6, 'ec': -0.48, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:09] DATA: {'ph': 5.68, 'ec': -0.47, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:12] DATA: {'ph': 5.66, 'ec': -0.48, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:15] DATA: {'ph': 3.68, 'ec': -0.45, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:18] DATA: {'ph': 2.33, 'ec': -0.47, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:21] DATA: {'ph': 1.97, 'ec': 0.0, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:24] DATA: {'ph': 2.47, 'ec': -0.01, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:27] DATA: {'ph': 2.41, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:30] DATA: {'ph': 2.08, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:33] DATA: {'ph': 2.08, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:36] DATA: {'ph': 2.44, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:39] DATA: {'ph': 2.66, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:42] DATA: {'ph': 2.27, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:45] DATA: {'ph': 2.6, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:48] DATA: {'ph': 2.25, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:51] DATA: {'ph': 2.36, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:54] DATA: {'ph': 2.47, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:32:57] DATA: {'ph': 2.19, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:00] DATA: {'ph': 2.41, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:03] DATA: {'ph': 2.25, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:06] DATA: {'ph': 2.25, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:09] DATA: {'ph': 2.38, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:12] DATA: {'ph': 2.14, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:15] DATA: {'ph': 2.33, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:18] DATA: {'ph': 2.22, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:21] DATA: {'ph': 2.16, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:24] DATA: {'ph': 2.05, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:27] DATA: {'ph': 1.97, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:30] DATA: {'ph': 1.94, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:33] DATA: {'ph': 1.94, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:33:36] DATA: {'ph': 10.61, 'ec': -12.24, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
