[2023-04-20 20:39:26] Opened Log File logs/2023-04-20_20-39-26_log.txt
[2023-04-20 20:39:26] DATA: {'ph': 2.0, 'ec': 0.0, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:39:33] DATA: {'ph': 2.0, 'ec': 0.0, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:39:36] Transitioned to conditioning mode -- Written by logger
[2023-04-20 20:39:36] DATA: {'ph': 1.94, 'ec': -1.73, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:39:39] DATA: {'ph': 1.97, 'ec': -1.76, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:39:42] Transitioned to shutdown mode -- Written by logger
[2023-04-20 20:39:42] DATA: {'ph': 2.0, 'ec': -1.78, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:39:45] DATA: {'ph': 10.97, 'ec': -1.72, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:39:48] DATA: {'ph': 2.69, 'ec': -0.19, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:39:51] DATA: {'ph': 2.05, 'ec': -0.02, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:39:54] DATA: {'ph': 1.94, 'ec': -0.04, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:39:57] DATA: {'ph': 2.0, 'ec': 0.0, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:40:00] DATA: {'ph': 1.97, 'ec': 0.0, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:40:03] DATA: {'ph': 1.94, 'ec': 0.0, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:40:06] DATA: {'ph': 1.94, 'ec': 0.0, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:40:09] DATA: {'ph': 6.26, 'ec': 0.0, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
